SKU,MEL,SYD,PER,JET
FL100WS-Unipallet,,,,3
POST-1100-BLK,,,,
RL100WS-Unipallet,,,,
RL150WS-Unipallet,,,,
SC-PEG-WS-BLK,,,,
SC-PEG-WS-3,,,,
FL150WS-Unipallet,,,,
FL185WS-Unipallet,,,,
RL185WS-Unipallet,,,,
FL150WS,655,557,-3350,346
SC-PEG-WS,9227,12930,-17280,3837
POST-1100,1265,639,592,154
BS-UNI-ST-BLK,,,,
HL150WS-Unipallet,,,,
SPIKE-BOX,,,,
SPIKE-BOX-BLK,,,,
RL240WS-Unipallet,,,,
FL400WS-Unipallet,,,,
FL560WS-Unipallet,,,,
FL075WS-Unipallet,,,,
FL240WS-Unipallet,,,,
RL400WS-Unipallet,,,,
RL560WS-Unipallet,,,,
TSCZ12G-B250-BLK,,,,
HL100WS-Unipallet,,,-14,
FL560GS-Unipallet,,,,
RL075WS-Unipallet,,,,
RL075GS-Unipallet,,,,
DB8-2PCK-BLK,,,,
FL075GS-Unipallet,,,,
RL240GS-Unipallet,,,,
RL400GS-Unipallet,,,,
RL560GS-Unipallet,,,,
FL400GS-Unipallet,,,,
HL100GS-Unipallet,,,,
FL240GS-Unipallet,,,,
HL150GS-Unipallet,,,,
DB8-2PCK,92,80,100,97
FL560WS,88,64,-70,4
RL560WS,55,60,-11,15
BS-UNI-ST,804,2927,1640,473
TSCZ12G-B250,76,102,103,48
SPIKE,8222,18839,16181,30995
FL100WS,274,2520,-630,205
FHL400WS-1000-BLK,,,,
FHL400WS-400-BLK,,,,
RIB400MS-BLK,,,,
RIB560MS-BLK,,,,
FHL400WS-1000,29,14,8,20
FHL400WS-400,14,28,14,10
RIB560MS,,36,47,40
RIB400MS,6,16,55,68
FL400GS,17,,,19
FHL560GS-1000,,,,
FHL560GS-1200,,,,
FHL560GS-400,,,,
FHL560JS-GS,,,,
TSDM12G-B50,100,200,46,99
FHL-UCSI-560,129,29,140,52
FHL-BS,59,23,70,38
FHL560JS-WS,34,52,80,40
FHL560WS-1200,38,49,,20
FHL560WS-1000,16,23,,
HL100WS,29,123,-44,47
RL150WS,931,1529,-1050,139
FL100WS-CRNR-BLK,,,,
FL150WS-CRNR-BLK,,,,
TSCZ12G-B50-BLK,,,,
HL150WS-CRNR-BLK,,,,
HL150WS-CRNR,30,4,-20,20
HL150WS,142,103,7,20
TSCZ12G-B50,599,503,503,195
FL150WS-CRNR,14,39,,61
FL100WS-CRNR,,58,133,20
RL100WS,1190,674,-770,405
RL075WS,1353,,190,
POST-470,2878,2296,1394,1040
FL240WS-CRNR-SET,,,12,12
FL240WS-CRNR-SET-BLK,,,,
FL400WS-CRNR-SET,11,,20,30
FL400WS-CRNR-SET-BLK,,,,
FL075WS,151,837,-266,99
RL240WS,842,469,174,147
RL075GS,136,140,54,
RL400WS,115,176,18,36
FL150GS,41,102,,26
FL150GS-Unipallet,,,,
FL400WS,255,195,-63,28
FHL560WS-1200-BLK,,,,
FHL400WS-600,11,18,8,6
FHL400WS-600-BLK,,,,
RL150GS-Unipallet,,,,
FHL400WS-800,17,65,10,10
FHL400WS-800-BLK,,,,
FHL560WS-1000-BLK,,,,
SC-PEG-GS,-21,1575,432,819
POST-1100-Unipallet,,,,
POST-470-Unipallet,,,,
HL100GS-SMPL,,,,
HL100WS-SMPL,,,,
FL100GS-SMPL,,,,
FL100WS-SMPL,,,,
FL150GS-SMPL,,,10,
FL150WS-SMPL,,,,
FL240GS-SMPL,,,,
FL240WS-SMPL,,,,
FL400GS-SMPL,,,,
FL400WS-SMPL,,,,
FL560GS-SMPL,,,,
FL560WS-SMPL,,,,
HL150GS-SMPL,,,,
RL150GS,1,164,,70
FL075GS-SMPL,,,10,
FL075WS-SMPL,,,,
HL100GS,18,,2,20
HL150WS-SMPL,,,,
FL185GS-Unipallet,,,,
RL100GS-Unipallet,,,,
RL185GS-Unipallet,,,,
SC-PEG-GS-BLK,,,,
SC-PEG-GS-3,,,,
POST-470-BLK,,,,
FL100GS-Unipallet,,,,
FL240WS,1173,610,-120,
RP-FL150WS,,,,
RP-FL150WS-BLK,,,,
FL560WS-CRNR-SET-BLK,,,,
FHL-UCSI-560-BLK,,,,
