SKU,MEL,SYD,PER,JET
FL075WS-Unipallet,1,,,
FL100GS-Unipallet,1,,,
FL100WS-Unipallet,1,,,
FL240WS-Unipallet,,,,
FL240WS-CRNR-SET-BLK,,,,
FL400WS-Unipallet,,,,
FL560WS-Unipallet,,,,
HL150WS-Unipallet,,,,
POST-1100-BLK,,,,
POST-470-BLK,,,,
RL100WS-Unipallet,,,,
RL240WS-Unipallet,,,,
SC-PEG-WS-BLK,,,,
SPIKE-BOX,,,,
SPIKE-BOX-BLK,,2,,
RL150WS-Unipallet,,,,
FL150GS-Unipallet,,,,
HL100WS-Unipallet,,,,
TSCZ12G-B250-BLK,,,,
TSCZ12G-B50-BLK,,,,
SC-PEG-WS-3,,,4,
FL150WS-CRNR-BLK,,,,
RL100GS-Unipallet,,,,
RL400WS-Unipallet,,,,
RL560WS-Unipallet,,,,
FL100WS-CRNR-BLK,,,,
FL150WS-Unipallet,2,,,
FL560GS-Unipallet,,,,
RL075WS-Unipallet,2,,,
RL075GS-Unipallet,,,,
FL185WS-Unipallet,,,,
FL240GS-Unipallet,,,,
FL400GS-Unipallet,,,,
HL100GS-Unipallet,,,,
HL150GS-Unipallet,,,,
RL185WS-Unipallet,,,,
RL240GS-Unipallet,,,,
RL400GS-Unipallet,,,,
RL560GS-Unipallet,,,,
FL185GS-Unipallet,,,,
RL150GS-Unipallet,,,,
RL185GS-Unipallet,,,,
FL075GS-Unipallet,,,,
TSCZ12G-B20-BLK,,,,
SC-PEG-GS-3,,,,
SC-PEG-GS-BLK,,,,
SC-PEG-WS,13268,16492,44727,
FL240WS,625,738,1191,
FL150WS-CRNR,107,113,50,
SPIKE,51866,20838,20518,
RL150WS,605,2075,5343,
FL240WS-SLV-BLK,,,,
FL400WS-SLV-BLK,,,,
TSDM12G-B50-BLK,,,,
DB8-2PCK-BLK,,,,
FL150WS,2996,1435,4775,
DB8-2PCK,68,73,75,
FL400WS,358,478,193,
FL240WS-SLV,43,,61,
TSCZ12G-B250,173,213,67,
FL400WS-SLV,46,10,62,
TSDM12G-B50,387,250,140,
FL100WS,579,1758,2888,
RL100WS,283,1092,1738,
POST-1100,2366,632,538,
FL150GS,760,309,380,
RL150GS,1466,117,383,
SC-PEG-GS,9443,783,28167,
TSCZ12G-B20,628,274,378,
FL240WS-CRNR-SET,107,165,,
FL075WS,1961,338,1340,
RL240WS,709,61,206,
RL100GS,424,280,354,
HL100WS,-21,176,728,
FL560WS,53,49,4,
TSCZ12G-B50,827,728,728,
POST-470,4323,2736,2451,
RL075GS,635,488,119,
FL100WS-CRNR,54,99,100,
BS-UNI-ST-BLK,,56,,
BS-UNI-ST,120,1981,1731,
FL560WS-SLV-BLK,,,,
FL560WS-CRNR-SET-BLK,,,,
FL400WS-CRNR-SET-BLK,,,,
FHL-UCSI-560-BLK,,,,
FHL400JS-WS-BLK,,,,
FHL400WS-2000-BLK,,,,
HL150WS-CRNR-BLK,,300,,
FHL560GS-1000-BLK,,,,
FHL560GS-600-BLK,,,,
FHL560GS-800-BLK,,,,
FL560WS-CRNR-SET,54,96,37,
FL400WS-CRNR-SET,155,54,57,
RL400WS,9,59,24,
RL560WS,51,220,115,
HL150WS-CRNR,61,167,161,
FHL560WS-1000-BLK,,,,
FHL560WS-400-BLK,,,,
FHL560WS-800-BLK,,,,
FHL560JS-WS-BLK,,,,
FHL-BS-BLK,,19,,
FHL560WS-800,25,17,,
FHL-BS,124,30,114,
FHL560JS-WS,196,106,200,
FHL-UCSI-560,55,5,-7,
FHL560WS-400,29,21,40,
FHL560WS-1000,9,2,,
FHL400WS-2000,20,95,30,
FHL400JS-WS,287,223,140,
PEG-GS-HD-BLK,,,,
PEG-WS-HD-BLK,,,,
PEG-WS-HD,210,320,97,
PEG-GS-HD,74,520,100,
FL560WS-SLV,49,50,55,
FL100GS,-70,,89,
HL150WS,186,84,223,
FL560GS,37,88,,
FHL560GS-1000,24,24,,
FHL560GS-800,24,24,1,
FL100GS-CRNR-BLK,,,,
TSDM12G-B20-BLK,,,,
FHL560WS-1200-BLK,,,,
FHL560WS-2000-BLK,,,,
FL240GS,89,60,56,
FHL560WS-2000,24,28,1,
FHL560WS-1200,25,19,2,
FL100GS-CRNR,265,83,51,
TSDM12G-B20,142,435,81,
RL075WS,862,701,922,
ANCHOR-SET-FL-PRTS-BLK,,,,
ANCHOR-SET-FL-PRTS,772,493,388,
FHL-UCSI-400-BLK,,,,
FHL400WS-1000-BLK,,,,
FHL400WS-600-BLK,,,,
FHL400WS-800-BLK,,,,
RP-FL150WS-BLK,,,,
FL150HSB-BLK,,,,
TSDM12G-B250-BLK,,,,
HL100GS,187,108,46,
RP-FL150WS,31,,38,
FHL400WS-1000,37,30,130,
FL100GS-SMPL,,10,26,
FL150HSB,203,279,54,
FL240GS-SMPL,,10,29,
FL400GS-SMPL,10,10,24,
FL400WS-SMPL,10,10,29,
FL560GS-SMPL,10,10,20,
FL560WS-SMPL,9,10,35,
HL100GS-SMPL,,10,39,
HL100WS-SMPL,10,10,9,
HL150GS-SMPL,,10,14,
HL150WS-SMPL,10,10,26,
FL075GS-SMPL,10,10,34,
FL240WS-SMPL,10,10,19,
FL075WS-SMPL,,10,9,
FL100WS-SMPL,,10,9,
FL150GS-SMPL,,10,25,
FL150WS-SMPL,,10,17,
FHL400WS-800,27,127,200,
FHL400WS-600,54,101,48,
FL075GS,444,228,102,
TSDM12G-B250,84,153,85,
FHL-UCSI-400,145,155,144,
RL075WS-CRNR-BLK,,,,
RL075WS-CRNR,93,131,155,
FHL560WS-600-BLK,,,,
FHL-UCSE-WS560-BLK,,,,
FHL560WS-600,15,10,16,
FHL-UCSE-WS560,312,199,46,
HL150GS-CRNR,128,93,84,
HL150GS-CRNR-BLK,,,,
FHL400JS-GS-BLK,,,,
FHL400GS-400-BLK,,,,
FHL400GS-800-BLK,,,,
FHL-UCSE-GS400-BLK,,,,
RL240GS,76,50,21,
DISPLAY-FULL-AU,6,5,2,
FHL-UCSE-GS400,,136,100,
FHL400GS-400,68,72,72,
FHL400GS-800,34,36,36,
FHL400JS-GS,196,72,200,
RL560GS,107,49,27,
FL400GS,118,116,4,
FHL400WS-1200-BLK,,,,
FHL400WS-1200,63,152,2,
FL150GS-CRNR-BLK,,,,
FL400GS-SLV-BLK,,,,
FL400GS-SLV,69,56,19,
FL150GS-CRNR,166,143,36,
RL400GS,156,140,17,
RP-FHL560x600WS-2P-BLK,,,,
FL240HSB-BLK,,,,
FHL400GS-1000-BLK,,,,
FHL400GS-1200-BLK,,,,
FHL400GS-2000-BLK,,,,
FHL560GS-1200-BLK,,,,
FHL560GS-2000-BLK,,,,
FHL560GS-400-BLK,,,,
RIB560GS-BLK,,,,
FHL560JS-GS-BLK,,,,
RIB240GS-BLK,,,,
FHL-UCSE-WS400-BLK,,,,
FHL400WS-400-BLK,,,,
JN-SET-2P-BLK,,,,
JN-SET-3P-BLK,,,,
RP-FHL560x1000WS-2P-BLK,,,,
RP-FHL560x1000WS-4P-BLK,,,,
RP-FHL560x600WS-4P-BLK,,,,
RP-FHL560x800WS-2P-BLK,,,,
RP-FHL560x800WS-4P-BLK,,,,
RP-FL150GS-BLK,,,,
RIB400MS-BLK,,,,
RIB560MS-BLK,,,,
RIB400FHL-BLK,,,,
RIB560FHL-BLK,,102,,
RL075GS-CRNR-BLK,,,,
HL100GS-CRNR-BLK,,,,
HL100WS-CRNR-BLK,,,,
FL240GS-SLV-BLK,,,,
FL560GS-CRNR-SET-BLK,,80,,
FL100HSB-BLK,,,,
