SKU,MEL,SYD,PER,JET
TSDM12G-B250,84,149,85,
SPIKE,38726,14683,30808,
HL100GS,155,122,6,
HL100GS-CRNR,91,84,7,
SC-PEG-WS,12814,19501,37143,
FL150WS,2282,2467,3724,
FL400WS-CRNR-SET,142,48,99,
FL560WS-CRNR-SET,50,84,47,
FL150WS-Unipallet,-2,-1,,
FL100WS-Unipallet,-2,-2,-4,
FL100WS,1541,1042,2527,
RL100WS,565,1600,1786,
FL075WS,3354,28,2364,
FL150WS-CRNR,71,371,298,
FL100WS-CRNR,2,209,74,
RL100WS-Unipallet,-3,,-2,
SPIKE-BOX,-78,,,
FL240WS,451,661,841,
HL100WS,,60,903,
FL400WS,294,411,513,
HL150WS,24,100,414,
BS-UNI-ST,128,1511,1683,
BS-UNI-ST-BLK,,52,,
FL560WS,52,237,540,
TSCZ12G-B250,170,191,67,
TSCZ12G-B50,812,626,703,
HL100WS-CRNR,112,92,38,
HL150WS-CRNR,55,138,156,
FL240WS-CRNR-SET,104,135,,
POST-1100,2366,455,360,
POST-1100-BLK,,-3,,
POST-470,4295,2414,2461,
POST-470-BLK,,-3,-5,
HL100WS-Unipallet,,-1,,
HL150WS-Unipallet,,-1,,
FL240WS-Unipallet,,-1,-1,
FL400WS-Unipallet,,-1,,
FL560WS-Unipallet,,-1,,
RL075WS,444,348,981,
SC-PEG-WS-3,,-96,4,
RL150WS,,938,4113,1
RL240WS,640,412,442,
RL240WS-Unipallet,,,,
FL240WS-SLV,33,,41,
FHL-UCSI-560,55,412,49,
FHL-UCSI-560-BLK,,,,
FL100WS-CRNR-BLK,,,,
FL100GS,930,231,-541,
FL100GS-Unipallet,1,,-2,
SC-PEG-GS,12350,3691,25887,
FL240WS-CRNR-SET-BLK,,,,
HL100GS-Unipallet,,,,
RL150WS-Unipallet,,,,
FHL400WS-1000,11,29,128,
FHL400WS-1000-BLK,,,,
SPIKE-BOX-BLK,,2,1,
FHL-UCSI-400,116,130,136,
FHL-UCSI-400-BLK,,,,
FL240WS-SLV-BLK,,,,
FL075WS-Unipallet,,,,
FHL560WS-2000,24,,61,
FHL560WS-2000-BLK,,,,
FL400WS-SLV,36,60,62,
FL400WS-SLV-BLK,,,,
FL560WS-SLV,39,50,55,
FL560WS-SLV-BLK,,,,
RL400WS,43,170,336,
RL400WS-Unipallet,,,,
TSCZ12G-B20,614,349,278,
TSCZ12G-B20-BLK,,,,
FHL560WS-400,29,12,40,
FHL560WS-400-BLK,,,,
POST-1100-Unipallet,,,,
FL150GS,800,289,428,
SC-PEG-GS-3,,,-20,
RL150GS,1441,314,343,
FHL-BS,120,82,111,
FHL400JS-WS,279,217,134,
FHL560JS-WS,196,81,192,
FHL560WS-800,25,71,36,
FHL400WS-400,27,93,22,
FHL400WS-1200,60,152,38,
FHL560WS-1200,25,70,12,
FHL560WS-600,15,61,-14,
FHL400WS-2000,12,134,36,
JN-SET-2P,190,143,20,
RL075WS-CRNR,93,141,155,
FHL-UCSE-WS400,378,318,53,
RL560WS,51,173,218,
FL100HSB,109,192,75,
RL560WS-Unipallet,,,,
FL150GS-Unipallet,,,,
FHL560WS-600-BLK,,,-1,
TSDM12G-B20,141,385,78,
FHL560WS-1000,9,51,60,
