SKU,MEL,SYD,PER,JET
FL100WS,1598,1141,-210,
FL560WS,78,38,-10,-2
SC-PEG-WS-3,,,,
SPIKE,8388,16104,15106,30584
SC-PEG-WS,10930,9323,-690,1158
FL075GS-Unipallet,,,,
FL075WS-Unipallet,,,,
RL240WS-Unipallet,,,,
FL150WS-Unipallet,,,,
FL100WS-Unipallet,,,,3
FL185WS-Unipallet,,,,
RL100WS-Unipallet,,,,
RL150WS-Unipallet,,,,
RL185WS-Unipallet,,,,
SC-PEG-WS-BLK,,,,
FL240GS-Unipallet,,,,
FL240WS-Unipallet,,,,
FL400GS-Unipallet,,,,
FL400WS-Unipallet,,,,
FL560GS-Unipallet,,,,
FL560WS-Unipallet,,,,
HL100GS-Unipallet,,,,
HL100WS-Unipallet,,,,
HL150GS-Unipallet,,,,
HL150WS-Unipallet,,,,
RL075GS-Unipallet,,,,
RL075WS-Unipallet,,,,
RL240GS-Unipallet,,,,
RL400GS-Unipallet,,,,
RL400WS-Unipallet,,,,
RL560GS-Unipallet,,,,
RL560WS-Unipallet,,,,
SPIKE-BOX,,,,
SPIKE-BOX-BLK,,,,
RL150WS,719,781,-476,-2
FL240WS,1036,457,134,13
BS-UNI-ST,636,2697,1820,555
TSCZ12G-B50,-6,593,792,465
TSCZ12G-B20,-5,315,465,530
RL240WS,832,446,650,121
POST-470,-118,2840,1190,1402
RL100WS,1265,-160,616,125
FL075WS,857,487,-343,
POST-1100,-18,953,512,307
POST-1100-BLK,,,,
FL560WS-CRNR-SET,6,84,20,31
FL240WS-CRNR-SET,20,112,,12
FL240WS-SLV,8,39,9,23
FL150WS-CRNR,19,64,49,83
TSCZ12G-B20-BLK,,,,
FL150WS-CRNR-BLK,,,,
FL240WS-SLV-BLK,,,,
FL240WS-CRNR-SET-BLK,,,,
FL560WS-CRNR-SET-BLK,,,,
FHL560WS-800,41,15,26,22
TSCZ12G-B250,-2,208,123,90
FHL-UCSI-560,98,-3,114,49
FHL560JS-WS,196,49,60,144
FHL560WS-1000,8,14,,
FHL560WS-1000-BLK,,,,
FHL-UCSI-560-BLK,,,,
RL560WS,62,11,2,13
HL150WS,268,44,-155,78
FL400WS,198,103,157,34
FHL560WS-600,36,,,7
FL150HSB,,-6,27,178
FHL560WS-600-BLK,,,,
FHL560WS-400,36,33,6,32
FHL560WS-400-BLK,,,,
HL150WS-CRNR,64,18,,107
HL150WS-CRNR-BLK,,300,,
FL150WS,132,-300,-800,119
FHL560WS-800-BLK,,,,
FHL560WS-1200,28,23,,20
FHL560WS-1200-BLK,,,,
FHL560WS-2000,-6,-5,31,11
FHL560WS-2000-BLK,,,,
FL150HSB-BLK,,,,
TSDM12G-B50-BLK,,,,
RP-FL150WS-BLK,,,,
RL100GS-Unipallet,,,,
FL100GS-Unipallet,,,,
FL185GS-Unipallet,,,,
RL150GS-Unipallet,,,,
RL185GS-Unipallet,,,,
SC-PEG-GS-BLK,,,,
SC-PEG-GS-3,,,,
FL150GS-Unipallet,,,,
TSCZ12G-B250-BLK,,,,
TSCZ12G-B50-BLK,,,,
RL075GS,635,400,-16,217
HL150GS,253,67,18,92
HL100GS,-36,139,-64,152
RP-FL150WS,,,1,
SC-PEG-GS,2695,1577,-840,618
RL150GS,503,260,-100,982
FL150GS,418,93,-100,308
TSDM12G-B50,-4,266,143,99
HL100WS,160,149,41,236
POST-470-BLK,,,,
TSDM12G-B20-BLK,,,,
DB8-2PCK-BLK,,,,
DB8-2PCK,,60,89,82
TSDM12G-B20,,157,90,288
BS-UNI-ST-BLK,,56,,
FHL400WS-1000-BLK,,,,
FHL400WS-800-BLK,,,,
FHL400WS-600-BLK,,,,
TSDM12G-B250-BLK,,,,
FL400WS-CRNR-SET-BLK,,,,
FHL400WS-800,31,55,10,122
FHL400WS-600,56,57,8,66
FHL400WS-1000,39,10,8,33
HL150GS-SMPL,,,,
RL400WS,111,137,176,38
FL075GS-SMPL,10,,10,
FL075WS-SMPL,,,,
FL100GS-SMPL,,,,
FL150WS-SMPL,,,,
FL240GS-SMPL,,,,
FL240WS-SMPL,10,,,
FL100WS-SMPL,,,,
FL150GS-SMPL,,,10,
FL400GS-SMPL,10,,,
FL400WS-SMPL,10,,,
FL560GS-SMPL,10,,,
FL560WS-SMPL,10,,,
HL100GS-SMPL,,,,
HL100WS-SMPL,10,,,
POST-470-Unipallet,,,,
POST-1100-Unipallet,,,,
FL400WS-CRNR-SET,21,41,18,30
RL075WS,1182,137,400,267
HL150WS-SMPL,10,,,
TSDM12G-B250,-2,35,17,132
FL100WS-CRNR-BLK,,,,
FL100HSB-BLK,,,,
FHL400JS-WS-BLK,,,,
FHL560JS-WS-BLK,,,,
FHL400JS-WS,290,60,61,247
RL100GS,244,108,-186,108
FL100WS-CRNR,42,110,129,77
FL100HSB,,111,68,86
