SKU,MEL,SYD,PER,JET
FHL560WS-2000,,4,38,10
FHL560WS-2000-BLK,,,,
FL075WS,11,867,-133,29
FL075WS-Unipallet,,,,
FL100WS,-76,2000,70,65
FL100WS-Unipallet,,,,3
FL240WS-CRNR-SET,,113,12,12
FL240WS-CRNR-SET-BLK,,,,
FL560WS-SLV,1,35,9,20
FL560WS-SLV-BLK,,,,
SPIKE-BOX-BLK,,,,
FHL-UCSI-560,104,23,140,52
FHL-UCSI-560-BLK,,,,
FL150GS,10,206,,26
FL150GS-Unipallet,,,,
FHL560WS-1200,29,47,,20
FHL560WS-1200-BLK,,,,
RL400WS,109,152,137,36
RL400WS-Unipallet,,,,
RL560WS,55,53,19,15
RL560WS-Unipallet,,,,
FL150WS,455,210,-2050,244
FL150WS-Unipallet,,,,
SPIKE,7081,19654,19497,30365
FL075GS-Unipallet,,,,
FL075GS,57,193,106,
FHL560WS-1000,11,24,,
FHL560WS-1000-BLK,,,,
SC-PEG-GS,-237,2336,372,819
SC-PEG-WS,7379,9281,-21888,2709
FHL400WS-2000,16,9,,
FHL400WS-2000-BLK,,,,
FL185GS-Unipallet,,,,
RL100GS-Unipallet,,,,
RL150GS-Unipallet,,,,
RL185GS-Unipallet,,,,
SC-PEG-GS-BLK,,,,
SC-PEG-GS-3,,,,
FL100GS-Unipallet,,,,
SPIKE-BOX,,,,
RL560GS-Unipallet,,,,
RL240WS-Unipallet,,,,
FL240GS-Unipallet,,,,
FL240WS-Unipallet,,,,
FL400GS-Unipallet,,,,
FL400WS-Unipallet,,,,
FL560GS-Unipallet,,,,
FL560WS-Unipallet,,,,
HL100GS-Unipallet,,,,
HL100WS-Unipallet,,,-3,
HL150GS-Unipallet,,,,
HL150WS-Unipallet,,,,
RL075GS-Unipallet,,,,
RL075WS-Unipallet,,,,
RL240GS-Unipallet,,,,
RL400GS-Unipallet,,,,
FL185WS-Unipallet,,,,
RL100WS-Unipallet,,,,
RL150WS-Unipallet,,,,
RL185WS-Unipallet,,,,
SC-PEG-WS-BLK,,,,
SC-PEG-WS-3,,,,
FL560WS,88,61,-70,4
RL150WS,881,1389,-876,75
RL100WS,1174,499,-70,335
FL400WS-CRNR-SET,11,47,19,30
FL560WS-CRNR-SET,8,81,26,31
FL400WS-CRNR-SET-BLK,,,,
FL560WS-CRNR-SET-BLK,,,,
POST-470,2872,3010,1244,1040
POST-1100,1265,1063,592,154
FHL400JS-WS,36,76,61,40
FHL-UCSI-400,79,136,174,88
FHL400WS-800,17,63,10,10
FL240WS,1170,567,407,
TSDM12G-B250,15,37,18,36
FL400WS,241,129,-23,28
FHL400WS-800-BLK,,,,
TSDM12G-B250-BLK,,,,
FHL400JS-WS-BLK,,,,
FHL-UCSI-400-BLK,,,,
POST-470-BLK,,,,
POST-1100-BLK,,,,
TSCZ12G-B250,75,219,102,47
FL100GS,,,336,
TSCZ12G-B250-BLK,,,,
TSCZ12G-B50,598,606,503,194
FHL400WS-600,11,61,8,6
FHL-BS,56,106,70,38
FHL400WS-1200,35,68,12,16
FHL400WS-600-BLK,,,,
FHL400WS-1200-BLK,,,,
FHL-BS-BLK,,,,
TSCZ12G-B50-BLK,,,,
HL100WS,-37,229,110,47
HL150WS,142,96,7,20
FHL-UCSE-GS400,,40,,
RL075GS,136,407,54,
RL075WS,1353,297,400,-140
RL240GS,30,25,20,30
RL400GS,40,141,16,18
HL150GS,18,73,36,20
HL100GS,-65,140,2,20
FL560GS,4,91,,10
FL400GS,17,48,,19
FL240GS,59,73,36,30
FHL-UCSE-WS400,19,112,39,20
FHL-UCSE-WS560,19,111,40,16
