SKU,MEL,SYD,PER,JET
RL150WS,881,1336,-26,75
RL150WS-Unipallet,,,,
FL150WS,455,160,-1400,244
FL150WS-Unipallet,,,,
SC-PEG-WS,7379,8996,3912,2514
RL185WS-Unipallet,,,,
SC-PEG-WS-BLK,,,,
SC-PEG-WS-3,,,,
FL100WS-Unipallet,,,,3
FL185WS-Unipallet,,,,
RL100WS-Unipallet,,,,
FL240WS-Unipallet,,,,
FL240WS,1170,567,437,
SPIKE,6812,19400,19347,30365
FL400GS-Unipallet,,,,
FL400WS-Unipallet,,,,
FL560GS-Unipallet,,,,
FL560WS-Unipallet,,,,
HL100GS-Unipallet,,,,
HL100WS-Unipallet,,,-3,
HL150GS-Unipallet,,,,
HL150WS-Unipallet,,,,
RL075GS-Unipallet,,,,
RL075WS-Unipallet,,,,
RL240GS-Unipallet,,,,
RL400GS-Unipallet,,,,
RL400WS-Unipallet,,,,
RL560GS-Unipallet,,,,
RL560WS-Unipallet,,,,
SPIKE-BOX,,,,
SPIKE-BOX-BLK,,,,
RL240WS-Unipallet,,,,
FL240GS-Unipallet,,,,
FL075GS-Unipallet,,,,
FL075WS-Unipallet,,,,
FL075WS,-59,837,-133,29
FL100WS,-76,2017,70,
BS-UNI-ST,813,2840,1640,473
RL240WS,842,510,444,147
RL100WS,1174,490,210,335
FL400WS,241,129,-43,28
FL560WS,88,61,-30,4
TSCZ12G-B250,75,219,138,47
TSCZ12G-B250-BLK,,,,
TSCZ12G-B50,598,604,803,194
TSCZ12G-B50-BLK,,,,
HL100WS,-37,229,110,47
FL150WS-CRNR,8,85,100,61
FL150WS-CRNR-BLK,,,,
RL400WS,109,152,177,36
RL560WS,55,53,39,15
RL075WS,1353,277,400,-140
TSDM12G-B50,100,275,146,99
TSDM12G-B50-BLK,,,,
TSCZ12G-B20,485,356,580,394
TSCZ12G-B20-BLK,,,,
PEG-WS-HD,30,260,50,290
PEG-WS-HD-BLK,,,,
BS-UNI-ST-Unipallet,,,,
BS-UNI-ST-BLK,,,,
FHL400WS-1000,29,17,8,20
FHL400WS-1000-BLK,,,,
FHL400WS-600,11,61,8,6
FHL400WS-600-BLK,,,,
FL240WS-CRNR-SET,,113,12,12
FL240WS-CRNR-SET-BLK,,,,
FL400WS-CRNR-SET,11,47,19,30
FL400WS-CRNR-SET-BLK,,,,
POST-1100,1265,1063,592,154
POST-470,2872,3010,1244,1040
HL150WS,131,70,7,20
FHL560WS-1200,29,47,,20
FHL560WS-1200-BLK,,,,
FL150GS,10,206,,26
FL150GS-Unipallet,,,,
RL075GS,136,407,54,
RL150GS-Unipallet,,,,
SC-PEG-GS,-237,2336,372,819
RL150GS,-40,260,,70
FL100GS-SMPL,,,,
POST-1100-Unipallet,,,,
POST-470-Unipallet,,,,
FHL400WS-800,17,63,10,10
FHL400WS-800-BLK,,,,
FHL560WS-1000,11,24,,
FHL560WS-1000-BLK,,,,
HL100GS,-65,140,2,20
FL075GS-SMPL,,,10,
FL075WS-SMPL,,,,
HL100GS-SMPL,,,,
HL100WS-SMPL,,,,
FL100WS-SMPL,,,,
FL150GS-SMPL,,,10,
FL150WS-SMPL,,,,
FL240GS-SMPL,,,,
FL240WS-SMPL,,,,
FL400GS-SMPL,,,,
FL400WS-SMPL,,,,
FL560GS-SMPL,,,,
FL560WS-SMPL,,,,
HL150GS-SMPL,,,,
HL150WS-SMPL,,,,
FL185GS-Unipallet,,,,
RL185GS-Unipallet,,,,
SC-PEG-GS-BLK,,,,
RL100GS-Unipallet,,,,
SC-PEG-GS-3,,,,
FL100GS-Unipallet,,,,
POST-470-BLK,,,,
POST-1100-BLK,,,,
TSDM12G-B250,15,37,18,36
FL075GS,57,193,106,
FHL400WS-1200,35,68,12,16
FHL400JS-WS,36,76,61,40
FHL-BS,56,106,70,38
FHL-UCSI-400,79,136,174,88
FHL-UCSI-400-BLK,,,,
FHL-BS-BLK,,,,
FHL400JS-WS-BLK,,,,
FHL400WS-1200-BLK,,,,
FL100GS,,,336,
RL100GS,,248,55,70
RL240GS,30,25,20,30
FHL400WS-2000,16,9,,
FHL400WS-2000-BLK,,,,
FHL-UCSI-560,104,23,140,52
FHL-UCSI-560-BLK,,,,
FL560WS-SLV,1,35,9,20
FL560WS-SLV-BLK,,,,
FHL560WS-2000,,4,38,10
FHL560WS-2000-BLK,,,,
FL560WS-CRNR-SET,8,81,26,31
FL560WS-CRNR-SET-BLK,,,,
