SKU,MEL,SYD,PER,JET
BS-UNI-ST,244,2373,1719,
BS-UNI-ST-BLK,,56,,
FL075WS,-623,,1460,
FL100WS,668,1130,3078,
FL100WS-Unipallet,1,,,
FL240WS-Unipallet,,,,
FL400WS,83,,294,
FL560WS,-25,45,6,
RL240WS,717,225,423,
RL240WS-Unipallet,,,,
FL240WS,746,403,897,
RL560WS,51,47,36,
RL560WS-Unipallet,,,,
FL150WS,-267,691,5359,
FL150WS-Unipallet,,,,
RL075WS,921,448,1042,
SPIKE,26743,7548,22605,
SC-PEG-WS,4371,8423,46143,
SPIKE-BOX,,,,
SPIKE-BOX-BLK,,,,
FL400GS-Unipallet,,,,
FL400WS-Unipallet,,,,
FL560GS-Unipallet,,,,
FL560WS-Unipallet,,,,
HL100GS-Unipallet,,,,
HL100WS-Unipallet,,,,
HL150GS-Unipallet,,,,
HL150WS-Unipallet,,,,
RL075GS-Unipallet,,,,
RL075WS-Unipallet,2,,,
RL240GS-Unipallet,,,,
RL400GS-Unipallet,,,,
RL400WS-Unipallet,,,,
RL560GS-Unipallet,,,,
FL075GS-Unipallet,,,,
FL075WS-Unipallet,1,,,
FL240GS-Unipallet,,,,
FL185WS-Unipallet,,,,
RL100WS-Unipallet,,,,
RL150WS-Unipallet,,,,
RL185WS-Unipallet,,,,
SC-PEG-WS-BLK,,,,
SC-PEG-WS-3,,,,
FL100GS-Unipallet,1,,,
FL150GS-Unipallet,,,,
RL100GS-Unipallet,,,,
FL185GS-Unipallet,,,,
RL150GS-Unipallet,,,,
RL185GS-Unipallet,,,,
SC-PEG-GS-BLK,,,,
SC-PEG-GS-3,,,,
SC-PEG-GS,27,764,27804,
RL100GS,,,74,
HL100WS,50,353,772,
FL400GS,112,122,8,
RL150WS,487,-87,3519,
FHL560WS-800-BLK,,,,
FHL560WS-2000-BLK,,,,
FL240WS-CRNR-SET-BLK,,,,
FL100WS-CRNR-BLK,,,,
FL240WS-SLV-BLK,,,,
TSCZ12G-B250-BLK,,,,
RL075WS-CRNR-BLK,,,,
TSCZ12G-B50-BLK,,,,
FHL560WS-1200-BLK,,,,
FL150WS-CRNR-BLK,,,,
FL400WS-SLV-BLK,,,,
FL400WS-CRNR-SET-BLK,,,,
FL560WS-SLV-BLK,,,,
FL560WS-CRNR-SET-BLK,,,,
FHL560JS-WS-BLK,,,,
FHL-BS-BLK,,19,,
FHL-UCSE-WS560-BLK,,,,
FHL-UCSI-400-BLK,,,,
FHL-UCSI-560-BLK,,,,
FL150GS-CRNR-BLK,,,,
FHL560WS-400-BLK,,,,
FHL560WS-600-BLK,,,,
TSCZ12G-B20-BLK,,,,
FHL560WS-1000-BLK,,,,
TSDM12G-B20-BLK,,,,
TSDM12G-B20,91,435,81,
TSCZ12G-B20,633,382,442,
RL150GS,1396,134,399,
FL150GS-CRNR,166,143,46,
POST-1100-BLK,,,,
POST-1100,2014,793,575,
FHL-BS,186,36,124,
FHL-UCSI-400,45,181,152,
FHL560JS-WS,200,115,216,
FHL560WS-1200,35,39,20,
TSCZ12G-B50,861,955,739,
FHL560WS-600,15,22,20,
FHL560WS-400,33,27,6,
TSCZ12G-B250,103,220,86,
FL100WS-CRNR,7,40,108,
FL240WS-CRNR-SET,14,179,13,
FHL560WS-800,29,46,,
FHL560WS-2000,24,11,1,
FL150WS-CRNR,5,-19,82,
FL400WS-CRNR-SET,16,56,60,
FL240WS-SLV,,23,71,
FL400WS-SLV,22,30,62,
FL560WS-SLV,10,56,55,
RL075WS-CRNR,33,56,155,
FHL-UCSE-WS560,312,203,48,
FHL-UCSI-560,143,65,-7,
FL560WS-CRNR-SET,6,97,38,
FHL560WS-1000,33,2,,
TSDM12G-B250-BLK,,,,
TSDM12G-B250,43,153,86,
HL150WS,242,164,233,
POST-470-BLK,,,,
POST-470,4015,2942,2801,
RL075GS,635,488,194,
FL075GS,374,228,174,
FHL400WS-2000-BLK,,,,
FL100GS-CRNR-BLK,,,,
RL400WS,,,88,
HL100GS,170,108,24,
FL100GS-CRNR,45,88,51,
RL100WS,793,20,2296,
FL100GS,144,91,159,
