SKU,MEL,SYD,PER,JET
FL150WS,705,657,-2900,346
SC-PEG-WS,9632,13590,-15930,4527
RL185WS-Unipallet,,,,
FL150WS-Unipallet,,,,
FL100WS-Unipallet,,,,3
FL185WS-Unipallet,,,,
RL100WS-Unipallet,,,,
RL150WS-Unipallet,,,,
SC-PEG-WS-BLK,,,,
SC-PEG-WS-3,,,,
FL100WS,344,2590,-630,275
SC-PEG-GS,-21,1575,432,819
RL150GS,1,164,,70
FL100GS-Unipallet,,,,
FL150GS-Unipallet,,,,
RL100GS-Unipallet,,,,
FL185GS-Unipallet,,,,
RL150GS-Unipallet,,,,
RL185GS-Unipallet,,,,
SC-PEG-GS-3,,,,
SC-PEG-GS-BLK,,,,
BS-UNI-ST-BLK,,,,
TSCZ12G-B20-BLK,,,,
FL150WS-CRNR-BLK,,,,
FL240GS-Unipallet,,,,
FL240WS-Unipallet,,,,
FL400GS-Unipallet,,,,
FL400WS-Unipallet,,,,
FL560GS-Unipallet,,,,
FL560WS-Unipallet,,,,
HL100GS-Unipallet,,,,
HL100WS-Unipallet,,,-14,
HL150GS-Unipallet,,,,
HL150WS-Unipallet,,,,
RL075GS-Unipallet,,,,
RL075WS-Unipallet,,,,
RL240GS-Unipallet,,,,
RL400GS-Unipallet,,,,
RL400WS-Unipallet,,,,
RL560GS-Unipallet,,,,
RL560WS-Unipallet,,,,
SPIKE-BOX,,,,
SPIKE-BOX-BLK,,,,
RL240WS-Unipallet,,,,
FL075GS-Unipallet,,,,
FL075WS-Unipallet,,,,
BS-UNI-ST,824,2927,1640,493
FL150WS-CRNR,14,39,,61
RL560WS,55,60,-10,25
RL400WS,115,176,18,36
SPIKE,8573,18927,16346,31145
TSCZ12G-B20,485,467,380,396
TSCZ12G-B250-BLK,,,,
FL100WS-CRNR-BLK,,,,
FL100WS-CRNR,,58,133,20
RL100WS,1190,674,-770,405
TSCZ12G-B250,76,102,103,50
FL240WS,1173,610,-120,
FL560WS-SLV-BLK,,,,
FL075WS,221,837,-266,99
FL560WS,88,64,-70,14
FL560WS-SLV,1,3,9,20
RL150WS,946,1579,-1050,259
RL240WS,842,469,174,147
TSCZ12G-B50-BLK,,,,
HL150WS-CRNR-BLK,,,,
FHL400WS-2000-BLK,,,,
FHL-UCSI-400-BLK,,,,
FHL400WS-400-BLK,,,,
FHL400WS-400,14,28,24,10
FHL-UCSI-400,83,50,174,88
FHL400WS-2000,16,,8,
FL560GS-CRNR-SET-BLK,,,,
POST-1100-BLK,,,,
POST-1100,1265,651,592,190
HL150GS,18,2,36,20
RL560GS,10,2,10,10
FL560GS-CRNR-SET,15,9,10,15
HL150WS-CRNR,30,4,-20,20
TSCZ12G-B50,600,503,503,195
HL150WS,142,103,25,20
FL560WS-CRNR-SET-BLK,,,,
POST-470-BLK,,,,
FHL-UCSE-WS560-BLK,,,,
FHL-BS-BLK,,,,
FHL-UCSE-WS400-BLK,,,,
FL400WS-SLV-BLK,,,,
FL240WS-SLV-BLK,,,,
FHL560JS-WS-BLK,,,,
FHL-UCSI-560-BLK,,,,
FHL400JS-WS-BLK,,,,
TSDM12G-B250-BLK,,,,
RL075WS-CRNR-BLK,,,,
FHL400WS-600-BLK,,,,
FL400WS-CRNR-SET-BLK,,,,
ANCHOR-SET-FL-PRTS-BLK,,,,
FL100GS-CRNR-BLK,,,,
FL100HSB-BLK,,,,
FL150GS-CRNR-BLK,,,,
FL150HSB-BLK,,,,
HL100GS-CRNR-BLK,,,,
HL150GS-CRNR-BLK,,,,
RL075GS-CRNR-BLK,,,,
RIB400FHL-BLK,,,,
RIB560FHL-BLK,,,,
FL240GS-SLV-BLK,,,,
FL560GS-SLV-BLK,,,,
FHL560WS-400-BLK,,,,
FL240HSB-BLK,,,,
TSDM12G-B20-BLK,,,,
FHL400JS-GS-BLK,,,,
FL400GS-CRNR-SET-BLK,,,,
FL400GS-SLV-BLK,,,,
FHL560JS-WS,34,52,80,40
FHL400WS-600,11,18,8,6
RL400GS,40,,16,18
FHL560WS-400,40,14,20,10
FL400GS-CRNR-SET,10,6,,15
FL240GS-SLV,10,10,10,10
FL400GS-SLV,10,6,,10
FL560GS-SLV,10,8,10,10
RIB400FHL,10,10,20,100
RIB560FHL,,10,,100
FL075GS,57,8,106,
FL100GS,,-70,371,
FHL-UCSI-560,129,29,140,52
FL150HSB,110,-6,30,10
FL100HSB,20,,70,10
FL400WS-SLV,9,,15,10
FL400WS-CRNR-SET,11,,20,30
FL560WS-CRNR-SET,8,2,26,31
FL240WS-SLV,8,,15,12
RL075GS-CRNR,10,10,60,10
RL075WS-CRNR,39,51,60,55
FL100GS-CRNR,14,,40,10
FHL400JS-GS,,32,,
HL100GS-CRNR,5,5,4,5
HL150GS-CRNR,5,1,20,5
FL100GS-SMPL,,,,
FL240GS-SMPL,,,,
FL400GS-SMPL,,,,
FL400WS-SMPL,,,,
FL560GS-SMPL,,,,
FL560WS-SMPL,,,,
HL100GS-SMPL,,,,
HL150GS-SMPL,,,,
HL150WS-SMPL,,,,
FL075GS-SMPL,,,10,
FL240WS-SMPL,,,,
FL150GS-CRNR,3,,28,10
FL100WS-SMPL,,,,
FL150GS-SMPL,,,10,
FL150WS-SMPL,,,,
FHL400JS-WS,36,,61,40
FHL-UCSE-WS560,20,38,40,16
FHL-UCSE-WS400,19,36,39,20
FHL-BS,59,23,70,38
FL240GS,59,15,36,30
RL240GS,30,8,20,30
FL240HSB,,80,,
POST-470,2878,2296,1394,1060
TSDM12G-B250,16,29,18,36
ANCHOR-SET-FL-PRTS,280,100,238,60
TSDM12G-B20,93,182,95,96
FL150GS,41,102,,26
RL100GS,,235,70,70
RL075WS,1400,,190,
HL100GS,18,,2,20
FL400WS,255,195,-63,28
FHL560WS-1200-BLK,,,,
FHL560WS-1000-BLK,,,,
FHL560WS-1000,16,23,,
FHL560WS-1200,38,49,,20
HL100WS,29,145,-22,47
FHL560WS-600-BLK,,,,
FHL560WS-600,4,,16,10
FL400GS,27,,,19
TSDM12G-B50-BLK,,,,
PEG-WS-HD-BLK,,,,
TSDM12G-B50,100,200,46,99
PEG-WS-HD,30,50,,290
BS-UNI-ST-Unipallet,,,,
FHL400WS-1200-BLK,,,,
FHL400WS-1200,39,42,12,16
FL240WS-CRNR-SET-BLK,,,,
FHL400WS-800-BLK,,,,
FL240WS-CRNR-SET,,,12,12
FHL400WS-800,17,65,10,10
FHL400WS-1000-BLK,,,,
FHL560WS-2000-BLK,,,,
HL100WS-SMPL,,,,
FL075WS-SMPL,,,,
FHL400WS-1000,29,14,18,20
FHL560WS-2000,6,4,38,10
RIB400MS-BLK,,,,
FHL560WS-800-BLK,,,,
RIB400MS,6,16,60,68
FHL560WS-800,34,12,26,10
PEG-GS-HD-BLK,,,,
PEG-GS-HD,50,50,100,230
RL075GS,136,140,54,
RIB560MS-BLK,,,,
FL560GS,4,40,,10
RIB560MS,,36,48,40
RIB240MS-BLK,,,,
HL100WS-CRNR-BLK,,,,
FL240GS-CRNR-SET-BLK,,,,
DB8-2PCK-BLK,,,,
RIB560GS-BLK,,,,
RIB400GS-BLK,,,,
HL100WS-CRNR,34,8,20,20
RIB240MS,,40,,100
DB8-2PCK,92,80,100,100
FL240GS-CRNR-SET,10,3,20,15
RIB560GS,,,40,40
