SKU,MEL,SYD,PER,JET
FHL400WS-1000,37,36,130,
FHL400WS-1000-BLK,,,,
FL100WS,119,1805,2258,
FL100WS-Unipallet,1,,,
FL100WS-CRNR,54,179,104,
FL240WS-Unipallet,,,,
HL150WS,128,142,223,
HL150WS-Unipallet,,,,
RL075WS-CRNR,93,151,155,
RL100WS,203,1208,1467,
RL100WS-Unipallet,,,,
FL150GS,810,409,380,
FL150GS-Unipallet,,,,
FL150WS-CRNR,97,181,58,
FL150WS-CRNR-BLK,,,,
FL240WS,619,888,931,
RL075WS-CRNR-BLK,,,,
FL100WS-CRNR-BLK,,,,
FL150WS,2621,2925,4034,
FL150WS-Unipallet,2,,,
RL150GS-Unipallet,,,,
RL150GS,1466,166,383,
SC-PEG-GS,9557,1209,27537,
SC-PEG-WS,9629,20101,39324,
FL185GS-Unipallet,,,,
RL100GS-Unipallet,,,,
RL185GS-Unipallet,,,,
SC-PEG-GS-BLK,,,,
SC-PEG-GS-3,,,,
FL100GS-Unipallet,1,,,
RL150WS-Unipallet,,,,
RL185WS-Unipallet,,,,
SC-PEG-WS-BLK,,,,
SC-PEG-WS-3,,,4,
FL185WS-Unipallet,,,,
RP-FHL560x800WS-2P-BLK,,,,
RP-FHL560x800WS-2P,14,,15,
FL075GS-Unipallet,,,,
RL400WS-Unipallet,,,,
RL560WS-Unipallet,,,,
HL150GS-Unipallet,,,,
RL400GS-Unipallet,,,,
RL075GS-Unipallet,,,,
HL100WS-Unipallet,,,,
FL240GS-Unipallet,,,,
RL075WS-Unipallet,2,,,
RL240GS-Unipallet,,,,
RL560GS-Unipallet,,,,
RL240WS-Unipallet,,,,
FL075WS-Unipallet,1,,,
FL400GS-Unipallet,,,,
FL400WS-Unipallet,,,,
FL560GS-Unipallet,,,,
FL560WS-Unipallet,,,,
HL100GS-Unipallet,,,,
SPIKE-BOX,,,,
SPIKE-BOX-BLK,,2,,
HL150GS,253,109,54,
SPIKE,48633,19303,18522,
RL150WS,307,1679,5143,
FL075WS,1786,258,1340,
BS-UNI-ST-BLK,,56,,
BS-UNI-ST,28,1929,1651,
FL560WS-CRNR-SET-BLK,,,,
FL560WS-CRNR-SET,48,95,37,
RL100GS,412,273,214,
RL240GS,70,50,21,
FHL560WS-600-BLK,,,,
FHL560WS-600,15,8,6,
FL100GS,-70,2,19,
RIB560MS-BLK,,,,
TSCZ12G-B250-BLK,,,,
TSDM12G-B50-BLK,,,,
POST-1100-BLK,,,,
TSCZ12G-B50-BLK,,,,
TSCZ12G-B250,170,209,67,
TSCZ12G-B50,822,715,728,
RL560WS,59,216,115,
POST-1100,2366,578,528,
TSDM12G-B50,392,237,140,
RIB560MS,356,384,14,
RL400WS,-17,54,24,
FL400WS,314,473,153,
FL560WS,22,29,,
RL240WS,649,26,146,
HL150WS-CRNR-BLK,,300,,
HL150WS-CRNR,55,167,161,
RL075WS,792,561,922,
RIB560,,,30,
FHL560GS-1000-BLK,,,,
FL150GS-CRNR-BLK,,,,
FHL560GS-600-BLK,,,,
FHL560GS-800-BLK,,,,
DB8-2PCK-BLK,,,,
FHL560WS-1000-BLK,,,,
FHL560JS-WS-BLK,,,,
FHL-UCSI-560-BLK,,,,
FHL400WS-2000-BLK,,,,
FHL-BS-BLK,,19,,
FHL560WS-400-BLK,,,,
POST-470-BLK,,,,
TSCZ12G-B20-BLK,,,,
FL400WS-SLV-BLK,,,,
FL240WS-CRNR-SET-BLK,,,,
FHL560WS-800-BLK,,,,
FHL560WS-2000-BLK,,,,
FHL560WS-1200-BLK,,,,
TSCZ12G-B20,616,254,379,
FHL560WS-2000,24,4,1,
FHL560WS-1200,25,23,2,
FHL560JS-WS,196,98,200,
FHL560WS-800,25,11,,
FHL-BS,124,85,114,
FHL-UCSI-560,55,41,-7,
DB8-2PCK,68,71,75,
POST-470,4315,2636,2251,
FHL560WS-1000,9,22,,
FHL400WS-2000,14,87,30,
FL240WS-CRNR-SET,107,167,,
SC-PEG-GS-Unipallet,,,,
SC-PEG-WS-Unipallet,,,,
HL100GS,187,108,2,
HL100WS,-21,148,728,
FL400WS-SLV,36,10,62,
FHL560WS-400,29,3,40,
FHL560GS-1000,24,24,,
FHL560GS-800,24,24,1,
FL560GS,37,88,,
FL150GS-CRNR,166,143,36,
FHL400WS-400-BLK,,,,
PEG-WS-HD-BLK,,2,,
FHL400JS-WS-BLK,,,,
FHL-UCSI-400-BLK,,,,
HL100WS-CRNR-BLK,,,,
FHL-UCSE-WS560-BLK,,,,
FHL400WS-1200-BLK,,,,
FL400WS-CRNR-SET-BLK,,,,
FL240WS-SLV-BLK,,,,
FHL-UCSE-WS560,312,198,46,
PEG-WS-HD,210,100,97,
HL100WS-CRNR,112,125,18,
FHL400WS-400,28,97,6,
FHL400WS-1200,63,152,2,
FL400WS-CRNR-SET,155,54,57,
FHL-UCSI-400,145,147,144,
FL240WS-SLV,33,3,61,
FHL400JS-WS,282,219,140,
FHL400WS-800-BLK,,,,
JN-SET-2P-BLK,,,,
JN-SET-2P,10,,20,
FL560WS-SLV-BLK,,,,
FL560WS-SLV,39,50,55,
FL400GS,98,116,4,
RIB400MS-BLK,,,,
RIB400MS,924,499,4,
TSDM12G-B20-BLK,,,,
TSDM12G-B250-BLK,,,,
TSDM12G-B250,84,150,85,
TSDM12G-B20,142,415,81,
FHL400WS-800,27,127,200,
FL100HSB-BLK,,,,
FL100HSB,111,192,75,
ANCHOR-SET-FL-PRTS-BLK,,,,
ANCHOR-SET-FL-PRTS,772,485,388,
RL075GS,635,488,119,
PEG-GS-HD-BLK,,,,
PEG-GS-HD,74,520,100,
FL100GS-CRNR-BLK,,,,
FL240GS,89,60,56,
FL100GS-CRNR,265,83,51,
FL150HSB-BLK,,,,
FHL400WS-600-BLK,,,,
RP-FL150WS-BLK,,,,
RP-FL150WS,31,,38,
FL150HSB,203,279,54,
FL150WS-SMPL,,10,17,
FL240WS-SMPL,10,10,19,
FL075WS-SMPL,,10,9,
FL100GS-SMPL,,10,26,
FL100WS-SMPL,,10,9,
FL150GS-SMPL,,10,25,
FL075GS-SMPL,10,10,34,
FL240GS-SMPL,,10,29,
FL400GS-SMPL,10,10,24,
FL400WS-SMPL,10,10,29,
FL560GS-SMPL,10,10,20,
FL560WS-SMPL,9,10,35,
HL100GS-SMPL,,10,39,
HL100WS-SMPL,10,10,9,
HL150GS-SMPL,,10,14,
HL150WS-SMPL,10,10,26,
FHL400WS-600,54,101,48,
FL075GS,444,228,102,
HL150GS-CRNR,128,93,84,
HL150GS-CRNR-BLK,,,,
FHL400JS-GS-BLK,,,,
FHL400GS-400-BLK,,,,
FHL400GS-800-BLK,,,,
FHL-UCSE-GS400-BLK,,,,
FHL-UCSE-GS400,,136,100,
DISPLAY-FULL-AU,6,5,2,
FHL400GS-400,68,72,72,
FHL400GS-800,34,36,36,
FHL400JS-GS,196,72,200,
RL560GS,107,49,27,
FL400GS-SLV-BLK,,,,
FL400GS-SLV,69,56,19,
RL400GS,156,140,17,
RP-FHL560x600WS-2P-BLK,,,,
JN-SET-3P-BLK,,,,
RP-FHL560x1000WS-2P-BLK,,,,
RP-FHL560x1000WS-4P-BLK,,,,
RP-FHL560x600WS-4P-BLK,,,,
FL240HSB-BLK,,,,
RP-FHL560x800WS-4P-BLK,,,,
RP-FL150GS-BLK,,,,
FHL-UCSE-WS400-BLK,,,,
FL400GS-CRNR-SET-BLK,,100,,
BSTRUT-BLK,,,,
FHL400GS-1200-BLK,,,,
FHL400GS-2000-BLK,,,,
FHL560GS-1200-BLK,,,,
FHL560GS-400-BLK,,,,
FHL560JS-GS-BLK,,,,
RIB400FHL-BLK,,,,
RIB560FHL-BLK,,102,,
RL075GS-CRNR-BLK,,,,
