SKU,MEL,SYD,PER,JET
BS-UNI-ST-BLK,,56,,
FHL400WS-1000-BLK,,,,
FHL400WS-400-BLK,,,,
FHL560WS-2000-BLK,,,,
FHL560WS-800-BLK,,,,
FL075WS-Unipallet,1,,,
FL100GS-Unipallet,1,,,
FL100WS-Unipallet,1,,,
FL240WS-Unipallet,,,,
FL240WS-CRNR-SET-BLK,,,,
FL240WS-SLV-BLK,,,,
FL400WS-Unipallet,,,,
FL400WS-SLV-BLK,,,,
FL560WS-Unipallet,,,,
FL560WS-CRNR-SET-BLK,,,,
FL560WS-SLV-BLK,,,,
HL150WS-Unipallet,,,,
POST-1100-BLK,,,,
RL100WS-Unipallet,,,,
RL240WS-Unipallet,,,,
SC-PEG-WS-BLK,,,,
SPIKE-BOX,,,,
RL150WS-Unipallet,,,,
FHL-UCSI-400-BLK,,,,
FHL-UCSI-560-BLK,,,,
FL150GS-Unipallet,,,,
HL100WS-Unipallet,,,,
SC-PEG-WS-3,,,4,
FHL560WS-1200-BLK,,,,
FL150WS-CRNR-BLK,,,,
RL100GS-Unipallet,,,,
RL400WS-Unipallet,,,,
RL560WS-Unipallet,,,,
FL100WS-CRNR-BLK,,,,
FL150WS-Unipallet,2,,,
FL560GS-Unipallet,,,,
RL075WS-Unipallet,2,,,
RL075GS-Unipallet,,,,
FL185WS-Unipallet,,,,
FL240GS-Unipallet,,,,
FL400GS-Unipallet,,,,
HL100GS-Unipallet,,,,
HL150GS-Unipallet,,,,
RL185WS-Unipallet,,,,
RL240GS-Unipallet,,,,
RL400GS-Unipallet,,,,
RL560GS-Unipallet,,,,
FL185GS-Unipallet,,,,
RL150GS-Unipallet,,,,
RL185GS-Unipallet,,,,
FL075GS-Unipallet,,,,
FHL560WS-1000-BLK,,,,
FHL560WS-400-BLK,,,,
FHL560WS-600-BLK,,,,
TSCZ12G-B20-BLK,,,,
SC-PEG-GS-3,,,,
SC-PEG-GS-BLK,,,,
FHL400WS-2000-BLK,,,,
BS-UNI-ST,48,1861,1651,
FL150WS,2594,2325,4284,
SC-PEG-WS,7658,16309,40644,
FL075WS,1506,118,2155,
FL560WS,13,1,210,
HL100WS,-21,126,728,
RL400WS,,23,4,
SC-PEG-GS,9575,1059,27837,
FL100GS,-70,2,-121,
FL100WS,-210,1665,2608,
RL150WS,172,1429,4993,
RL100WS,117,1094,1467,
FL400WS,334,453,173,
SPIKE,47787,17083,27107,
POST-470-BLK,,,,
POST-470,4315,2616,2771,
POST-1100,2366,566,468,
FL240WS-SLV,33,3,51,
FL240WS,619,834,1051,
RL240WS,679,-4,326,
POST-1100-Unipallet,,,,
HL150WS,89,124,439,
FHL-UCSI-400,145,147,144,
FHL400WS-1000,37,36,130,
FHL560WS-400,29,3,40,
FL560WS-SLV,39,50,55,
FHL560WS-2000,24,4,1,
SPIKE-BOX-BLK,,2,,
TSCZ12G-B20,616,254,379,
FL400WS-SLV,36,10,62,
FL100GS-SMPL,,10,26,
HL100GS,187,108,2,
FL150GS,810,409,480,
FHL-UCSI-560,55,41,-7,
FHL560WS-600,15,8,6,
FHL560WS-800,25,11,40,
FHL560WS-1200,25,13,2,
FL240WS-CRNR-SET,107,167,10,
RL560WS,59,203,215,
FL560WS-CRNR-SET,51,95,47,
FHL560WS-1000,9,22,40,
FHL400WS-400,28,97,6,
FHL400WS-2000,14,87,30,
FL100WS-CRNR,44,179,104,
FL150WS-CRNR,97,161,58,
RL150GS,1466,116,383,
SC-PEG-WS-Unipallet,,,,
RL075WS,757,491,912,
SC-PEG-GS-Unipallet,,,,
FHL560GS-600-BLK,,,,
FHL560GS-800-BLK,,,,
FHL560GS-1000-BLK,,,,
FHL400WS-600-BLK,,,,
HL150WS-CRNR-BLK,,300,,
TSDM12G-B50-BLK,,,,
HL150WS-CRNR,55,163,161,
FHL400WS-600,54,101,48,
FL400GS,98,116,4,
FL560GS,37,88,,
FHL560GS-800,24,24,1,
FHL560GS-1000,24,24,,
RL100GS,418,273,354,
TSDM12G-B50,388,237,139,
TSDM12G-B20-BLK,,,,
TSCZ12G-B50-BLK,,,,
TSCZ12G-B50,821,715,703,
RL075GS,635,488,399,
TSDM12G-B20,142,415,78,
FHL400WS-1200-BLK,,,,
HL100WS-CRNR-BLK,,,,
FL400WS-CRNR-SET-BLK,,,,
FHL400WS-1200,63,152,2,
FL400WS-CRNR-SET,150,54,57,
HL100WS-CRNR,112,117,18,
FHL560JS-WS-BLK,,,,
PEG-WS-HD-BLK,,2,,
PEG-WS-HD,210,82,97,
FHL560JS-WS,208,98,200,
RL240GS,73,50,21,
ANCHOR-SET-FL-PRTS-BLK,,,,
RIB560MS-BLK,,,,
ANCHOR-SET-FL-PRTS,772,465,388,
RIB560MS,356,384,14,
RP-FHL560x800WS-4P-BLK,,,,
RP-FHL560x800WS-2P-BLK,,,,
RP-FHL560x600WS-4P-BLK,,,,
RP-FHL560x600WS-2P-BLK,,,,
RP-FHL560x1000WS-4P-BLK,,,,
RP-FHL560x1000WS-2P-BLK,,,,
RP-FHL560x600WS-4P,7,,4,
RP-FHL560x1000WS-4P,5,,13,
RP-FHL560x800WS-2P,14,,15,
RP-FHL560x600WS-2P,14,,17,
RP-FHL560x800WS-4P,30,,16,
RP-FHL560x1000WS-2P,15,,17,
TSCZ12G-B250-BLK,,,,
TSCZ12G-B250,170,208,67,
RL075WS-CRNR-BLK,,,,
HL150GS,253,109,54,
RL075WS-CRNR,93,151,155,
RIB560,,,30,
FL150GS-CRNR-BLK,,,,
DB8-2PCK-BLK,,,,
FHL-BS-BLK,,19,,
FHL-BS,124,85,114,
DB8-2PCK,68,71,75,
FL150GS-CRNR,166,143,36,
FHL400JS-WS-BLK,,,,
FHL-UCSE-WS560-BLK,,,,
FHL-UCSE-WS560,312,198,46,
FHL400JS-WS,282,219,140,
FHL400WS-800-BLK,,,,
JN-SET-2P-BLK,,,,
JN-SET-2P,10,,20,
RIB400MS-BLK,,,,
RIB400MS,924,499,4,
TSDM12G-B250-BLK,,,,
TSDM12G-B250,84,150,85,
FHL400WS-800,27,127,200,
FL100HSB-BLK,,,,
FL100HSB,111,192,75,
PEG-GS-HD-BLK,,,,
PEG-GS-HD,74,520,100,
FL100GS-CRNR-BLK,,,,
FL240GS,89,60,56,
FL100GS-CRNR,265,83,51,
FL150HSB-BLK,,,,
RP-FL150WS-BLK,,,,
RP-FL150WS,31,,38,
FL150HSB,203,279,54,
FL150WS-SMPL,,10,17,
FL240WS-SMPL,10,10,19,
FL075WS-SMPL,,10,9,
FL100WS-SMPL,,10,9,
FL075GS-SMPL,10,10,34,
FL150GS-SMPL,,10,25,
FL240GS-SMPL,,10,29,
FL400GS-SMPL,10,10,24,
FL400WS-SMPL,10,10,29,
FL560GS-SMPL,10,10,20,
FL560WS-SMPL,9,10,35,
HL100GS-SMPL,,10,39,
HL100WS-SMPL,10,10,9,
HL150GS-SMPL,,10,14,
HL150WS-SMPL,10,10,26,
FL075GS,444,228,102,
HL150GS-CRNR,128,93,84,
HL150GS-CRNR-BLK,,,,
FHL400JS-GS-BLK,,,,
FHL400GS-400-BLK,,,,
FHL400GS-800-BLK,,,,
FHL-UCSE-GS400-BLK,,,,
DISPLAY-FULL-AU,6,5,2,
FHL-UCSE-GS400,,136,100,
FHL400GS-400,68,72,72,
FHL400GS-800,34,36,36,
FHL400JS-GS,196,72,200,
RL560GS,107,49,27,
FL400GS-SLV-BLK,,,,
FL400GS-SLV,69,56,19,
RL400GS,156,140,17,
FL240HSB-BLK,,,,
FHL560GS-2000-BLK,,,,
FHL400GS-1000-BLK,,,,
FHL400GS-1200-BLK,,,,
FHL400GS-2000-BLK,,,,
BSTRUT-BLK,,,,
FHL560JS-GS-BLK,,,,
RIB240GS-BLK,,,,
RIB560GS-BLK,,,,
FHL560GS-1200-BLK,,,,
FHL560GS-400-BLK,,,,
JN-SET-3P-BLK,,,,
RP-FL150GS-BLK,,,,
FHL-UCSE-WS400-BLK,,,,
FL240GS-CRNR-SET-BLK,,,,
FL240GS-SLV-BLK,,,,
HL100GS-CRNR-BLK,,,,
RIB400FHL-BLK,,,,
RIB560FHL-BLK,,102,,
RL075GS-CRNR-BLK,,,,
FL560GS-SLV-BLK,,,,
RIB240MS-BLK,,,,
FL560GS-CRNR-SET-BLK,,80,,
FL400GS-CRNR-SET-BLK,,100,,
