SKU,MEL,SYD,PER,JET
FL100WS,479,,120,
RL100WS,245,,,
TSCZ12G-B50,177,,-3,95
TSCZ12G-B50-BLK,,,,
RL100WS-Unipallet,,,,
FL100WS-Unipallet,,,,
FL150WS,520,,,200
FL150WS-Unipallet,,,,
FL240WS-Unipallet,,,,
FL240WS,1,,22,
FL400WS-Unipallet,,,,
FL400WS,18,,11,32
FL560WS-Unipallet,,,,
BS-UNI-ST,224,,96,210
BS-UNI-ST-BLK,,,,
RL075WS,70,,,140
RL075WS-Unipallet,,,,
FL560WS,,,20,20
HL100WS-Unipallet,,,,
HL100WS,22,,,37
RL240WS-Unipallet,,,,
RL240WS,,,,
RL560WS-Unipallet,,,,
RL560WS,-20,,10,
SC-PEG-WS,3926,,660,930
SC-PEG-WS-BLK,,,,
RL185WS-Unipallet,,,,
RL150WS-Unipallet,,,,
SC-PEG-WS-3,,,14,
FL075WS-Unipallet,,,,
FL185WS-Unipallet,,,,
FL150GS-Unipallet,,,,
FL150WS-CRNR,86,,,40
FL150WS-CRNR-BLK,,,,
FL150GS,,,141,
FL240HSB,,,,
FL240HSB-BLK,,,,
FL240WS-CRNR-SET,,,,
FL240WS-CRNR-SET-BLK,,,,
FHL400WS-1200,,,,
FHL400WS-1200-BLK,,,,
FHL560WS-1200,,,-4,
FHL560WS-1200-BLK,,,,
FL075WS,,,,70
RL150WS,,,,130
RL100GS-Unipallet,,,,
RL100GS,,,,
HL150WS,,,18,13
HL150WS-Unipallet,,,,
POST-470,420,,260,628
POST-470-BLK,,,,
SPIKE,659,,2953,1302
RL400WS,10,,37,60
RL400WS-Unipallet,,,,
SC-PEG-GS,210,,450,
SPIKE-BOX-BLK,,,,
SC-PEG-GS-BLK,,,,
SPIKE-BOX,,,,
RL560GS-Unipallet,,,,
RL400GS-Unipallet,,,,
RL240GS-Unipallet,,,,
RL185GS-Unipallet,,,,
HL150GS-Unipallet,,,,
HL100GS-Unipallet,,,,
RL075GS-Unipallet,,,,
RL150GS-Unipallet,,,,
FL075GS-Unipallet,,,,
FL240GS-Unipallet,,,,
