SKU,Bulk Quantity,Material,ReqScrew,ScrewType,FreePegs,FreeSpike,Bulk SKU,Manage Stock
FHL560WS-1000-BLK,10,Weathering steel,,,,,,TRUE
FHL560WS-1200,,Weathering steel,,,,,FHL560WS-1200-BLK,TRUE
FHL560WS-1200-BLK,10,Weathering steel,,,,,,TRUE
FHL560WS-2000,,Weathering steel,,,,,FHL560WS-2000-BLK,TRUE
FHL560WS-2000-BLK,10,Weathering steel,,,,,,TRUE
FL240WS-CRNR-SET,,Weathering steel,,,,,,TRUE
FL240GS-CRNR-SET,,Galvanised steel,,,,,,TRUE
FL400WS-CRNR-SET,,Weathering steel,,,,,,TRUE
FL400GS-CRNR-SET,,Galvanised steel,,,,,,TRUE
FL560WS-CRNR-SET,,Weathering steel,,,,,,TRUE
FL560GS-CRNR-SET,,Galvanised steel,,,,,,TRUE
RL075WS-CRNR,,Weathering steel,2,zinc,,,,TRUE
RL075GS-CRNR,,Galvanised steel,2,dacromet,,,,TRUE
HL100WS-CRNR,,Weathering steel,4,dacromet,,,,TRUE
HL100GS-CRNR,,Galvanised steel,4,dacromet,,,,TRUE
HL150WS-CRNR,,Weathering steel,4,zinc,,,,TRUE
HL150GS-CRNR,,Galvanised steel,4,dacromet,,,,TRUE
FL100WS-CRNR,,Weathering steel,2,zinc,,,,TRUE
FL100GS-CRNR,,Galvanised steel,2,dacromet,,,,TRUE
FL150WS-CRNR,,Weathering steel,2,zinc,,,,TRUE
FL150GS-CRNR,,Galvanised steel,2,dacromet,,,,TRUE
FL240WS-SLV,,Weathering steel,6,zinc,,,FL240WS-SLV-BLK,TRUE
FL240WS-SLV-BLK,10,Weathering steel,60,zinc,,,,TRUE
FL240GS-SLV,,Galvanised steel,6,dacromet,,,FL240GS-SLV-BLK,TRUE
FL240GS-SLV-BLK,10,Galvanised steel,60,dacromet,,,,TRUE
FL400WS-SLV,,Weathering steel,8,zinc,,,FL400WS-SLV-BLK,TRUE
FL400WS-SLV-BLK,10,Weathering steel,80,zinc,,,,TRUE
FL400GS-SLV,,Galvanised steel,8,dacromet,,,FL400GS-SLV-BLK,TRUE
FL400GS-SLV-BLK,10,Galvanised steel,80,dacromet,,,,TRUE
