SKU,MEL,SYD,PER,JET
FHL400WS-2000,,,,12
FHL400WS-1200,,,,
FL075GS,-5,70,70,
FL100HSB,,10,30,
FL100GS-CRNR,,10,20,
FL100WS-CRNR,,,30,
FL150HSB,,,30,
FL150GS-CRNR,,10,30,
FL240GS-CRNR-SET,,5,,
FL400GS,,10,,-5
HL100GS,,20,22,
FL560GS-CRNR-SET,,5,,
HL100GS-CRNR,,5,5,
HL100WS,2,22,-22,25
HL100WS-CRNR,,20,40,16
HL150WS,,-17,18,3
HL150GS,,30,18,
PEG-WS-HD,,,,210
HL150GS-CRNR,,5,20,
HL150WS-CRNR,,37,20,
PEG-GS-HD,,,,210
RIB240MS,,,,100
RIB400FHL,,10,20,100
RIB400MS,,,,40
RIB560FHL,,10,20,100
RIB560MS,,,,
RL075GS,,70,-70,
RL075GS-CRNR,,10,20,
RL100GS,,,,-11
RL150GS,,50,,-7
RL240GS,,10,20,
RL560GS,,10,,
SC-PEG-GS,,360,450,-54
SC-PEG-GS-BLK,,,,
RL240GS-Unipallet,,,,
RL185GS-Unipallet,,,,
RL150GS-Unipallet,,,,
RL100GS-Unipallet,,,,
RL075GS-Unipallet,,,,
RIB560MS-BLK,,,,
RIB560FHL-BLK,,,,
RIB400MS-BLK,,,,
RIB400FHL-BLK,,,,
RIB240MS-BLK,,,,
PEG-GS-HD-BLK,,,,
HL150WS-CRNR-BLK,,,,
HL150GS-CRNR-BLK,,,,
PEG-WS-HD-BLK,,,,
RL560GS-Unipallet,,,,
HL150WS-Unipallet,,,,
HL150GS-Unipallet,,,,
HL100WS-CRNR-BLK,,,,
HL100GS-CRNR-BLK,,,,
FL560GS-CRNR-SET-BLK,,,,
HL100WS-Unipallet,,,,
HL100GS-Unipallet,,,,
FL400GS-Unipallet,,,,
FL240GS-CRNR-SET-BLK,,,,
FL150GS-CRNR-BLK,,,,
FL100GS-Unipallet,,,,
FL150HSB-BLK,,,,
FL185GS-Unipallet,,,,
FL100WS-CRNR-BLK,,,,
FL100GS-CRNR-BLK,,,,
FL100HSB-BLK,,,,
FHL400WS-1200-BLK,,,,
FHL400WS-2000-BLK,,,,
SC-PEG-GS-3,,,,
RL075GS-CRNR-BLK,,,,
FL075GS-Unipallet,,,,
RL075WS-CRNR-BLK,,,,
FL075WS-Unipallet,,,,
BS-UNI-ST,196,-39,40,140
BS-UNI-ST-BLK,,,,
FL100WS,429,-450,-420,-70
FL075WS,-330,-146,-240,-160
FL100WS-Unipallet,,,,
FL240WS-Unipallet,,,,
FL150WS-Unipallet,,,,
FL150WS-CRNR,81,,40,15
FL150WS-CRNR-BLK,,,,
FL150WS,-80,,-1250,-50
FL240WS,-253,-242,-100,-123
FL240WS-CRNR-SET,,-20,-24,
FL240WS-CRNR-SET-BLK,,,,
FL240WS-SLV,,,,
FL240WS-SLV-BLK,,,,
FL400WS-Unipallet,,,,
FL400WS,-9,-3,-19,-3
FL400WS-CRNR-SET,,-1,-2,
FL400WS-CRNR-SET-BLK,,,,
FL400WS-SLV,,-1,,
FL400WS-SLV-BLK,,,,
FL560WS-Unipallet,,,,
FL560WS,-10,-10,20,10
FL560WS-CRNR-SET,,,,
FL560WS-CRNR-SET-BLK,,,,
FL560WS-SLV,-2,,,
FL560WS-SLV-BLK,,,,
TSDM12G-B250,,,,
TSDM12G-B250-BLK,,,,
SPIKE-BOX-BLK,,,,
TSCZ12G-B250,-54,,,-20
TSCZ12G-B250-BLK,,,,
POST-1100,216,170,50,22
POST-1100-BLK,,,,
POST-470,390,-196,160,358
POST-470-BLK,,,,
SPIKE,-2336,-1761,155,-86
RL100WS-Unipallet,,,,
RL075WS-CRNR,-6,,,
RL100WS,-45,-420,-350,
RL150WS-Unipallet,,,,
RL150WS,-205,-50,-800,-120
RL240WS-Unipallet,,,,
RL240WS,-33,-44,-90,-30
SC-PEG-WS,-139,-3180,-8790,-1560
SC-PEG-WS-BLK,,,,
SPIKE-BOX,,,,
RL560WS-Unipallet,,,,
RL400WS-Unipallet,,,,
RL400GS-Unipallet,,,,
RL185WS-Unipallet,,,,
RL075WS-Unipallet,,,,
FL560GS-Unipallet,,,,
FL240GS-Unipallet,,,,
FL150GS-Unipallet,,,,
FL185WS-Unipallet,,,,
SC-PEG-WS-3,,,14,
FL100GS,,70,,
FL560GS,,10,,
RL560WS,-40,-34,10,-10
FL400GS-CRNR-SET,,,,
FL150GS,-50,,150,
FL400GS-CRNR-SET-BLK,,,,
FL240GS,,20,20,
FHL560WS-400,50,10,10,
FHL560WS-600,,10,20,
FHL560WS-800,30,20,10,
ANCHOR-SET-FL-PRTS,220,,170,
ANCHOR-SET-FL-PRTS-BLK,,,,
FHL560WS-800-BLK,,,,
FHL560WS-600-BLK,,,,
FHL560WS-400-BLK,,,,
FHL560WS-1200,,,,
FHL560WS-1200-BLK,,,,
FL240HSB,,,,
FL240HSB-BLK,,,,
TSCZ12G-B50,177,,-32,85
TSCZ12G-B50-BLK,,,,
RL400WS,-28,-2,7,39
RL075WS,-160,150,-350,130
RL400GS,,10,20,-8
FL240GS-SLV,,10,,
FHL560WS-2000,,10,,
FHL400WS-800,,10,,
FHL560JS-WS,,30,,
FHL560WS-1000,,5,,
FHL400WS-600,,18,,
FHL400WS-1000,-10,10,-22,
FHL400WS-400,,20,-10,
FHL-BS,,20,-4,
FHL-UCSE-WS400,,18,,
FHL-UCSE-WS560,,20,,
FHL400JS-WS,,20,-4,
FHL-UCSI-400,,16,-8,
FHL-UCSI-560,60,20,,
FHL-UCSI-560-BLK,,,,
FHL-UCSI-400-BLK,,,,
FHL400JS-WS-BLK,,,,
FHL-UCSE-WS560-BLK,,,,
FHL-UCSE-WS400-BLK,,,,
FHL-BS-BLK,,,,
FHL400WS-400-BLK,,,,
FHL400WS-1000-BLK,,,,
FHL400WS-600-BLK,,,,
FHL560WS-1000-BLK,,,,
FHL560JS-WS-BLK,,,,
FHL400WS-800-BLK,,,,
FHL560WS-2000-BLK,,,,
FL240GS-SLV-BLK,,,,
TSDM12G-B50,,,,
TSDM12G-B50-BLK,,,,
TSCZ12G-B20-BLK,,,,
TSDM12G-B20-BLK,,,,
RIB560GS-BLK,,,,
RIB400GS-BLK,,,,
FL560GS-SLV-BLK,,,,
FL400GS-SLV-BLK,,,,
DB8-2PCK-BLK,,,,
DB8-2PCK,,,,
FL560GS-SLV,,,,
FL400GS-SLV,,,,
RIB400GS,,,,
RIB560GS,,,,
TSDM12G-B20,,,,
TSCZ12G-B20,,,,
FL150GS-SMPL,,,,
FL075GS-SMPL,,,,
